"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Path Academy District","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Path Academy District","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Path Academy District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Path Academy District","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Path Academy District","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Path Academy District","","2014-2015","High Needs","Other Count","Number","-6666"
"Path Academy District","","2014-2015","Non-High Needs","Other Count","Number","-6666"
"Path Academy District","","2014-2015","High Needs","Other Rate","Percent","-6666"
"Path Academy District","","2014-2015","Non-High Needs","Other Rate","Percent","-6666"
"Path Academy District","","2015-2016","High Needs","Total Cohort Count","Number","-9999"
"Path Academy District","","2015-2016","Non-High Needs","Total Cohort Count","Number","-9999"
"Path Academy District","","2015-2016","High Needs","Four Year Graduation Count","Number","-9999"
"Path Academy District","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-9999"
"Path Academy District","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-9999"
"Path Academy District","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-9999"
"Path Academy District","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Path Academy District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Path Academy District","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Path Academy District","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Path Academy District","","2015-2016","High Needs","Other Count","Number","-9999"
"Path Academy District","","2015-2016","Non-High Needs","Other Count","Number","-9999"
"Path Academy District","","2015-2016","High Needs","Other Rate","Percent","-9999"
"Path Academy District","","2015-2016","Non-High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2010-2011","High Needs","Total Cohort Count","Number","71"
"Plainfield School District","901559980","2010-2011","Non-High Needs","Total Cohort Count","Number","159"
"Plainfield School District","901559980","2010-2011","High Needs","Four Year Graduation Count","Number","51"
"Plainfield School District","901559980","2010-2011","Non-High Needs","Four Year Graduation Count","Number","146"
"Plainfield School District","901559980","2010-2011","High Needs","Four Year Graduation Rate","Percent","71.8"
"Plainfield School District","901559980","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","91.8"
"Plainfield School District","901559980","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2010-2011","High Needs","Other Count","Number","11"
"Plainfield School District","901559980","2010-2011","Non-High Needs","Other Count","Number","9"
"Plainfield School District","901559980","2010-2011","High Needs","Other Rate","Percent","15.5"
"Plainfield School District","901559980","2010-2011","Non-High Needs","Other Rate","Percent","5.7"
"Plainfield School District","901559980","2011-2012","High Needs","Total Cohort Count","Number","97"
"Plainfield School District","901559980","2011-2012","Non-High Needs","Total Cohort Count","Number","106"
"Plainfield School District","901559980","2011-2012","High Needs","Four Year Graduation Count","Number","73"
"Plainfield School District","901559980","2011-2012","Non-High Needs","Four Year Graduation Count","Number","100"
"Plainfield School District","901559980","2011-2012","High Needs","Four Year Graduation Rate","Percent","75.3"
"Plainfield School District","901559980","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","94.3"
"Plainfield School District","901559980","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2011-2012","High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2011-2012","High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2012-2013","High Needs","Total Cohort Count","Number","100"
"Plainfield School District","901559980","2012-2013","Non-High Needs","Total Cohort Count","Number","103"
"Plainfield School District","901559980","2012-2013","High Needs","Four Year Graduation Count","Number","73"
"Plainfield School District","901559980","2012-2013","Non-High Needs","Four Year Graduation Count","Number","99"
"Plainfield School District","901559980","2012-2013","High Needs","Four Year Graduation Rate","Percent","73.0"
"Plainfield School District","901559980","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","96.1"
"Plainfield School District","901559980","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2012-2013","High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2012-2013","High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2013-2014","High Needs","Total Cohort Count","Number","89"
"Plainfield School District","901559980","2013-2014","Non-High Needs","Total Cohort Count","Number","85"
"Plainfield School District","901559980","2013-2014","High Needs","Four Year Graduation Count","Number","65"
"Plainfield School District","901559980","2013-2014","Non-High Needs","Four Year Graduation Count","Number","80"
"Plainfield School District","901559980","2013-2014","High Needs","Four Year Graduation Rate","Percent","73.0"
"Plainfield School District","901559980","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","94.1"
"Plainfield School District","901559980","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2013-2014","High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2013-2014","High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2014-2015","High Needs","Total Cohort Count","Number","96"
"Plainfield School District","901559980","2014-2015","Non-High Needs","Total Cohort Count","Number","72"
"Plainfield School District","901559980","2014-2015","High Needs","Four Year Graduation Count","Number","66"
"Plainfield School District","901559980","2014-2015","Non-High Needs","Four Year Graduation Count","Number","71"
"Plainfield School District","901559980","2014-2015","High Needs","Four Year Graduation Rate","Percent","68.8"
"Plainfield School District","901559980","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","98.6"
"Plainfield School District","901559980","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2014-2015","High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2014-2015","High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2015-2016","High Needs","Total Cohort Count","Number","110"
"Plainfield School District","901559980","2015-2016","Non-High Needs","Total Cohort Count","Number","87"
"Plainfield School District","901559980","2015-2016","High Needs","Four Year Graduation Count","Number","78"
"Plainfield School District","901559980","2015-2016","Non-High Needs","Four Year Graduation Count","Number","84"
"Plainfield School District","901559980","2015-2016","High Needs","Four Year Graduation Rate","Percent","70.9"
"Plainfield School District","901559980","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","96.6"
"Plainfield School District","901559980","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainfield School District","901559980","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainfield School District","901559980","2015-2016","High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2015-2016","Non-High Needs","Other Count","Number","-9999"
"Plainfield School District","901559980","2015-2016","High Needs","Other Rate","Percent","-9999"
"Plainfield School District","901559980","2015-2016","Non-High Needs","Other Rate","Percent","-9999"
"Plainville School District","900360120","2010-2011","High Needs","Total Cohort Count","Number","55"
"Plainville School District","900360120","2010-2011","Non-High Needs","Total Cohort Count","Number","180"
"Plainville School District","900360120","2010-2011","High Needs","Four Year Graduation Count","Number","41"
"Plainville School District","900360120","2010-2011","Non-High Needs","Four Year Graduation Count","Number","166"
"Plainville School District","900360120","2010-2011","High Needs","Four Year Graduation Rate","Percent","74.5"
"Plainville School District","900360120","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","92.2"
"Plainville School District","900360120","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2010-2011","High Needs","Other Count","Number","10"
"Plainville School District","900360120","2010-2011","Non-High Needs","Other Count","Number","11"
"Plainville School District","900360120","2010-2011","High Needs","Other Rate","Percent","18.2"
"Plainville School District","900360120","2010-2011","Non-High Needs","Other Rate","Percent","6.1"
"Plainville School District","900360120","2011-2012","High Needs","Total Cohort Count","Number","79"
"Plainville School District","900360120","2011-2012","Non-High Needs","Total Cohort Count","Number","128"
"Plainville School District","900360120","2011-2012","High Needs","Four Year Graduation Count","Number","66"
"Plainville School District","900360120","2011-2012","Non-High Needs","Four Year Graduation Count","Number","126"
"Plainville School District","900360120","2011-2012","High Needs","Four Year Graduation Rate","Percent","83.5"
"Plainville School District","900360120","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","98.4"
"Plainville School District","900360120","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2011-2012","High Needs","Other Count","Number","-9999"
"Plainville School District","900360120","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Plainville School District","900360120","2011-2012","High Needs","Other Rate","Percent","-9999"
"Plainville School District","900360120","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Plainville School District","900360120","2012-2013","High Needs","Total Cohort Count","Number","80"
"Plainville School District","900360120","2012-2013","Non-High Needs","Total Cohort Count","Number","126"
"Plainville School District","900360120","2012-2013","High Needs","Four Year Graduation Count","Number","64"
"Plainville School District","900360120","2012-2013","Non-High Needs","Four Year Graduation Count","Number","119"
"Plainville School District","900360120","2012-2013","High Needs","Four Year Graduation Rate","Percent","80.0"
"Plainville School District","900360120","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","94.4"
"Plainville School District","900360120","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2012-2013","High Needs","Other Count","Number","-9999"
"Plainville School District","900360120","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Plainville School District","900360120","2012-2013","High Needs","Other Rate","Percent","-9999"
"Plainville School District","900360120","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Plainville School District","900360120","2013-2014","High Needs","Total Cohort Count","Number","85"
"Plainville School District","900360120","2013-2014","Non-High Needs","Total Cohort Count","Number","91"
"Plainville School District","900360120","2013-2014","High Needs","Four Year Graduation Count","Number","67"
"Plainville School District","900360120","2013-2014","Non-High Needs","Four Year Graduation Count","Number","89"
"Plainville School District","900360120","2013-2014","High Needs","Four Year Graduation Rate","Percent","78.8"
"Plainville School District","900360120","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","97.8"
"Plainville School District","900360120","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2013-2014","High Needs","Other Count","Number","-9999"
"Plainville School District","900360120","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Plainville School District","900360120","2013-2014","High Needs","Other Rate","Percent","-9999"
"Plainville School District","900360120","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Plainville School District","900360120","2014-2015","High Needs","Total Cohort Count","Number","86"
"Plainville School District","900360120","2014-2015","Non-High Needs","Total Cohort Count","Number","96"
"Plainville School District","900360120","2014-2015","High Needs","Four Year Graduation Count","Number","69"
"Plainville School District","900360120","2014-2015","Non-High Needs","Four Year Graduation Count","Number","93"
"Plainville School District","900360120","2014-2015","High Needs","Four Year Graduation Rate","Percent","80.2"
"Plainville School District","900360120","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","96.9"
"Plainville School District","900360120","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plainville School District","900360120","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plainville School District","900360120","2014-2015","High Needs","Other Count","Number","-9999"
"Plainville School District","900360120","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Plainville School District","900360120","2014-2015","High Needs","Other Rate","Percent","-9999"
"Plainville School District","900360120","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Plainville School District","900360120","2015-2016","High Needs","Total Cohort Count","Number","76"
"Plainville School District","900360120","2015-2016","Non-High Needs","Total Cohort Count","Number","125"
"Plainville School District","900360120","2015-2016","High Needs","Four Year Graduation Count","Number","58"
"Plainville School District","900360120","2015-2016","Non-High Needs","Four Year Graduation Count","Number","125"
"Plainville School District","900360120","2015-2016","High Needs","Four Year Graduation Rate","Percent","76.3"
"Plainville School District","900360120","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Plainville School District","900360120","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","7"
"Plainville School District","900360120","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","0"
"Plainville School District","900360120","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","9.2"
"Plainville School District","900360120","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","0.0"
"Plainville School District","900360120","2015-2016","High Needs","Other Count","Number","11"
"Plainville School District","900360120","2015-2016","Non-High Needs","Other Count","Number","0"
"Plainville School District","900360120","2015-2016","High Needs","Other Rate","Percent","14.5"
"Plainville School District","900360120","2015-2016","Non-High Needs","Other Rate","Percent","0.0"
"Plymouth School District","900560750","2010-2011","High Needs","Total Cohort Count","Number","26"
"Plymouth School District","900560750","2010-2011","Non-High Needs","Total Cohort Count","Number","114"
"Plymouth School District","900560750","2010-2011","High Needs","Four Year Graduation Count","Number","18"
"Plymouth School District","900560750","2010-2011","Non-High Needs","Four Year Graduation Count","Number","108"
"Plymouth School District","900560750","2010-2011","High Needs","Four Year Graduation Rate","Percent","69.2"
"Plymouth School District","900560750","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","94.7"
"Plymouth School District","900560750","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2010-2011","High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2010-2011","High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2011-2012","High Needs","Total Cohort Count","Number","57"
"Plymouth School District","900560750","2011-2012","Non-High Needs","Total Cohort Count","Number","82"
"Plymouth School District","900560750","2011-2012","High Needs","Four Year Graduation Count","Number","38"
"Plymouth School District","900560750","2011-2012","Non-High Needs","Four Year Graduation Count","Number","79"
"Plymouth School District","900560750","2011-2012","High Needs","Four Year Graduation Rate","Percent","66.7"
"Plymouth School District","900560750","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","96.3"
"Plymouth School District","900560750","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2011-2012","High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2011-2012","High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2012-2013","High Needs","Total Cohort Count","Number","48"
"Plymouth School District","900560750","2012-2013","Non-High Needs","Total Cohort Count","Number","80"
"Plymouth School District","900560750","2012-2013","High Needs","Four Year Graduation Count","Number","36"
"Plymouth School District","900560750","2012-2013","Non-High Needs","Four Year Graduation Count","Number","73"
"Plymouth School District","900560750","2012-2013","High Needs","Four Year Graduation Rate","Percent","75.0"
"Plymouth School District","900560750","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","91.3"
"Plymouth School District","900560750","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2012-2013","High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2012-2013","High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2013-2014","High Needs","Total Cohort Count","Number","56"
"Plymouth School District","900560750","2013-2014","Non-High Needs","Total Cohort Count","Number","83"
"Plymouth School District","900560750","2013-2014","High Needs","Four Year Graduation Count","Number","41"
"Plymouth School District","900560750","2013-2014","Non-High Needs","Four Year Graduation Count","Number","80"
"Plymouth School District","900560750","2013-2014","High Needs","Four Year Graduation Rate","Percent","73.2"
"Plymouth School District","900560750","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","96.4"
"Plymouth School District","900560750","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2013-2014","High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2013-2014","High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2014-2015","High Needs","Total Cohort Count","Number","54"
"Plymouth School District","900560750","2014-2015","Non-High Needs","Total Cohort Count","Number","67"
"Plymouth School District","900560750","2014-2015","High Needs","Four Year Graduation Count","Number","41"
"Plymouth School District","900560750","2014-2015","Non-High Needs","Four Year Graduation Count","Number","65"
"Plymouth School District","900560750","2014-2015","High Needs","Four Year Graduation Rate","Percent","75.9"
"Plymouth School District","900560750","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","97.0"
"Plymouth School District","900560750","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2014-2015","High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2014-2015","High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2015-2016","High Needs","Total Cohort Count","Number","53"
"Plymouth School District","900560750","2015-2016","Non-High Needs","Total Cohort Count","Number","53"
"Plymouth School District","900560750","2015-2016","High Needs","Four Year Graduation Count","Number","43"
"Plymouth School District","900560750","2015-2016","Non-High Needs","Four Year Graduation Count","Number","50"
"Plymouth School District","900560750","2015-2016","High Needs","Four Year Graduation Rate","Percent","81.1"
"Plymouth School District","900560750","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","94.3"
"Plymouth School District","900560750","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Plymouth School District","900560750","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Plymouth School District","900560750","2015-2016","High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2015-2016","Non-High Needs","Other Count","Number","-9999"
"Plymouth School District","900560750","2015-2016","High Needs","Other Rate","Percent","-9999"
"Plymouth School District","900560750","2015-2016","Non-High Needs","Other Rate","Percent","-9999"
"Pomfret School District","","2010-2011","High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2010-2011","Non-High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2010-2011","High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2010-2011","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2010-2011","High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2010-2011","High Needs","Other Count","Number","-6666"
"Pomfret School District","","2010-2011","Non-High Needs","Other Count","Number","-6666"
"Pomfret School District","","2010-2011","High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2010-2011","Non-High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2011-2012","High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2011-2012","Non-High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2011-2012","High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2011-2012","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2011-2012","High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2011-2012","High Needs","Other Count","Number","-6666"
"Pomfret School District","","2011-2012","Non-High Needs","Other Count","Number","-6666"
"Pomfret School District","","2011-2012","High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2011-2012","Non-High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2012-2013","High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2012-2013","Non-High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2012-2013","High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2012-2013","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2012-2013","High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-6666"
"Pomfret School District","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-6666"
"Pomfret School District","","2012-2013","High Needs","Other Count","Number","-6666"
"Pomfret School District","","2012-2013","Non-High Needs","Other Count","Number","-6666"
"Pomfret School District","","2012-2013","High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2012-2013","Non-High Needs","Other Rate","Percent","-6666"
"Pomfret School District","","2013-2014","High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2013-2014","Non-High Needs","Total Cohort Count","Number","-6666"
"Pomfret School District","","2013-2014","High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","-6666"
"Pomfret School District","","2013-2014","High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","-6666"
"Pomfret School District","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-6666"
